"zipcode","top_first","top_second","count_patients_1","count_patients_2"
"10921","custom","Z68.32",1,1
"10922","I10","Z00.01",1,4
"10923","custom","I10",4,4
"10924","I10","R73.09",3,14
"10925","E66.3","M25.511",1,4
"10926","E78.2","L25.9",1,4
"10927","I10","Z71.3",3,7
"10930","custom","Z13.89",4,4
"10940","custom","Z71.3",10,19
"10941","custom","I10",7,13
"10949","F41.9","J32.9",1,7
"10950","custom","G47.00",23,22
"10952","F41.9","G47.00",1,31
"10954","custom","I10",21,29
"10956","custom","Z00.00",26,49
"10958","E55.9","Z00.00",1,1
"10960","custom","R53.83",3,4
"10962","I10","N40.0",1,22
"10964","Z68.27","A69.20",1,2
"10965","I10","I87.2",7,32
"10968","G82.20","I82.409",1,29
"10969","T88.8XXA",NA,1,0
"10970","E03.9","Z71.3",1,3
"10974","M54.5",NA,1,0
"10977","Z71.3","E78.5",5,16
"10980","I10","custom",7,41
"10983","Z00.8","Z12.11",5,6
"10987","J45.909","I10",1,6
"10989","custom","Z71.3",5,9
"10990","custom","Z23",11,7
"10992","Z00.01","J30.9",3,4
"10993","R73.09","I10",1,11
"10994","J44.9","I10",1,6
"11001","I10","Z00.00",20,45
"110017","F31.9","Z00.00",1,2
"11002","Z09","Z00.00",2,3
"11003","I10","Z00.00",20,87
"11004","I10","E11.9",49,142
"11005","Z68.33","custom",1,2
"11010","E53.8","G30.9",1,28
"11020","Z71.3","Z71.89",1,7
"11021","I10","Z00.00",2,9
"11023","E03.9","Z68.27",1,6
"11024","I10","I25.10",2,13
"11030","Z00.00","I10",5,3
"11040","I10","Z00.01",42,107
"11042","E11.9","I10",1,3
"11043","R73.03","Z68.23",1,5
"11050","Z00.00","F34.1",7,12
"11051","I10","E11.9",1,1
"11052","J06.0","J02.9",1,1
"11096","E11.9","I10",2,14
"11101","I10","Z71.3",44,215
"11102","I10","Z00.00",29,135
"11103","Z00.00","I10",31,37
"11104","Z00.00","E78.5",75,111
"11105","Z00.00","I10",36,52
"11106","I10","Z71.3",37,123
"11109","Z68.52","Z00.129",2,4
"11120","I10","E11.9",1,1
"11201","custom","J45.909",9,26
"11202","Z76.0","E11.9",1,7
"11203","I10","E78.5",7,24
"11204","E11.69","Z71.3",1,9
"11205","Z71.3","Z71.89",2,15
"11206","I10","E78.5",22,113
"11207","I10","Z00.00",49,233
"11208","I10","Z00.00",85,399
"11209","Z00.00","Z71.3",7,7
"11210","custom","F90.0",6,12
"11211","I10","E78.5",15,58
"11212","I10","E11.9",21,70
"11213","I10","E11.9",7,23
"11214","Z09","F17.200",1,7
"11215","I10","K21.9",3,9
"11216","I10","E11.9",7,36
"11217","Z71.3","I10",5,15
"11218","I10","E78.5",5,36
"11219","D51.0","custom",1,5
"11220","I10","E11.9",8,50
"11221","I10","E78.5",21,51
"11222","E03.9","E78.5",1,27
"11223","Z71.3","Z71.89",5,18
"11224","I10","Z71.3",2,12
"11225","I10","Z00.00",7,25
"11226","I10","Z71.3",9,24
"11228","R13.10","E11.9",1,31
"11229","I10","E11.9",5,11
"11230","custom","Z09",2,7
"11231","I10","custom",5,21
"11232","Z68.27","Z00.00",1,4
"11233","I10","Z00.00",7,39
"11234","custom","I10",8,14
"11235","E78.5","I10",2,12
"11236","E11.9","I10",2,37
"11237","I10","Z00.00",15,80
"11238","I10","Z00.00",5,12
"11239","I10","E03.9",4,20
"11242","I10","E78.5",1,10
"11247","custom",NA,1,0
"11249","I10","Z00.00",2,7
"11352","E78.5","E03.9",1,8
"11354","I10","Z71.3",61,329
"11355","I10","Z71.89",76,458
"11356","I10","Z71.3",55,312
"11357","I10","Z00.00",20,109
"11358","I10","Z71.3",23,167
"11359","Z68.33","Z71.3",1,3
"11360","Z00.00","Z71.3",15,20
"11361","I10","Z00.00",16,75
"11362","E78.5","Z00.00",4,16
"11363","Z09","E78.0",2,4
"11364","Z71.3","Z71.89",9,75
"11365","I10","Z00.00",40,203
"11366","I10","Z00.00",14,69
"11367","I10","E78.5",39,229
"11368","Z71.3","Z71.89",2000,13310
"11369","Z71.3","Z71.89",291,1958
"11370","Z00.00","I10",139,252
"11371","Z68.29","M54.5",1,2
"11372","Z00.00","I10",737,1307
"11373","I10","Z00.00",303,1372
"11374","E78.5","I10",431,2647
"11375","E78.5","I10",216,1340
"11377","I10","Z00.00",130,673
"11378","I10","Z00.00",37,251
"11379","I10","Z00.00",29,240
"11380","E78.5","E55.9",1,5
"11385","I10","Z00.00",77,355
"11386","Z71.3","Z71.89",1,7
"11405","Z71.89","Z71.3",2,9
"11411","I10","E78.5",13,44
"11412","I10","E78.5",11,99
"11413","I10","Z00.00",15,54
"11414","I10","E78.5",27,124
"11415","I10","E78.5",74,409
"11416","Z00.00","Z71.3",116,168
"11417","I10","E78.5",52,281
"11418","I10","Z00.00",78,460
"11419","I10","E78.5",69,414
"11420","I10","Z00.00",49,238
"11421","Z00.00","I10",255,459
"11422","I10","E78.5",13,67
"11423","I10","E78.5",38,120
"11426","I10","Z00.00",28,99
"11427","I10","E78.5",23,98
"11428","I10","E78.5",32,141
"11429","I10","Z71.89",27,133
"11430","I10","E11.9",1,5
"11432","I10","E78.5",90,348
"11433","Z71.3","Z00.00",33,167
"11434","I10","Z00.00",46,180
"11435","I10","E78.5",128,761
"11436","I10","Z00.00",14,66
"11451","custom","E03.9",1,11
"11501","D51.3","Z00.01",2,6
"11507","I10","E11.9",3,15
"11510","I10","Z00.00",7,29
"11514","E11.9","I10",1,8
"11516","I10","custom",1,2
"11518","Z71.3","Z00.00",2,11
"11520","E03.9","I10",8,53
"11530","I10","K86.9",1,2
"11542","M34.9","I10",1,8
"11545","M17.9","E78.5",2,5
"11547","Z00.00","Z68.44",2,1
"11550","I10","Z71.3",5,31
"11552","I10","F17.210",4,10
